registrar_id,message_version,sender_email,sender_name,sender_url,blockID,clinton_voteshare,state,dens_log,ethnic_cue,normalAssigned,obama_margin,pct_inc2pov_000,pct_inc2pov_050,pct_inc2pov_075,pct_inc2pov_100,pct_inc2pov_125,pct_inc2pov_150,pct_inc2pov_175,pct_inc2pov_185,pct_inc2pov_200,pct_inc2pov_300,pct_inc2pov_400,pct_inc2pov_500,pct_latino,pct_nonlat,pct_race_2,pct_race_asian,pct_race_black,pct_race_hpi,pct_race_native,pct_race_other,pct_race_white,pct_arab,pop_log,romney_voteshare,trump_voteshare,voterid_nonstrict_nonphoto,voterid_nonstrict_photo,voterid_strict_nonphoto,voterid_strict_photo,vra_county,vra_state,vra_county_state,Date,From,HitTracker,ReadRcpt,ReplyDate,RespTime,GotResponse,gmail_address
1986,C,rnagi20@ez-webmail.com,Rais Nagi,https://www.ez-webmail.com/img/1986c/ez-logo@25px.png,3,0.24598218,Alabama,1.973626404,3,1,-0.46,0.041479821,0.027326233,0.022141256,0.032721413,0.048346413,0.054512332,0.018147422,0.034683296,0.183015695,0.14573991,0.117642937,0.274243274,0.025228526,0.974771474,0.013385084,0.009068485,0.186030905,0.000290192,0.004171503,0.006964597,0.780089234,0,4.743101932,0.73,0.75401782,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,2016-10-31T07:32:09-07:00,Rais Nagi <rnagi20@ez-webmail.com>,TRUE,FALSE,10/31/16 14:34,0.040833333,TRUE,FALSE
1387,V,dfoster20@ez-webmail.com,Devin Foster,https://www.ez-webmail.com/img/1387e/ez-logo@25px.png,4,0.201877419,Alabama,2.111041711,0,1,-0.558,0.039585967,0.027812895,0.034529077,0.032099399,0.04272677,0.04778366,0.013550885,0.025047408,0.173257743,0.151410398,0.117928255,0.294267541,0.045134803,0.954865197,0.01844617,0.006568866,0.093653409,0,0.005224759,0.009638869,0.866467927,0.001542847,5.309012349,0.779,0.798122581,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,2016-10-31T07:33:17-07:00,Devin Foster <dfoster20@ez-webmail.com>,FALSE,FALSE,10/31/16 14:41,0.139444444,TRUE,FALSE
5218,K,gallen20@ez-webmail.com,Garrett Allen,https://www.ez-webmail.com/img/5218b/ez-logo@25px.png,12,0.47164121,Alabama,1.490453424,0,1,0.03,0.100616358,0.046143595,0.044144594,0.056471764,0.05430618,0.055805431,0.023488256,0.054139597,0.173080127,0.137264701,0.061136099,0.193403298,0.047310004,0.952689996,0.019985988,0.007522401,0.463328294,0,0.001769977,0.035178288,0.472215052,0,4.423081958,0.485,0.52835879,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,2016-10-31T07:33:08-07:00,Garrett Allen <gallen20@ez-webmail.com>,TRUE,FALSE,10/31/16 14:39,0.111111111,TRUE,FALSE
8027,K,ehernandez20@ez-webmail.com,Erick Hernandez,https://www.ez-webmail.com/img/8027c/ez-logo@25px.png,6,0.217729755,Alabama,1.571395472,1,1,-0.469,0.046968563,0.030875749,0.052020958,0.072417665,0.091317365,0.059505988,0.029752994,0.034805389,0.209019461,0.15886976,0.055576347,0.15886976,0.02008564,0.97991436,0.012890125,0.000838741,0.211760032,0,0.007063082,0.000264866,0.767183155,0.000264866,4.353800865,0.7345,0.782270245,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,2016-10-31T08:07:08-07:00,Erick Hernandez <ehernandez20@ez-webmail.com>,,,,,FALSE,FALSE
2389,L,ralbaf20@ez-webmail.com,Rayyan Albaf,https://www.ez-webmail.com/img/2389d/ez-logo@25px.png,11,0.086144723,Alabama,1.956371574,3,1,-0.742,0.05834715,0.031692386,0.041767632,0.039280704,0.066190537,0.047761765,0.029715598,0.032457595,0.201058538,0.163372019,0.106427752,0.181928325,0.084656085,0.915343915,0.015716888,0.000988811,0.015352589,0,0.004978749,0.010113627,0.952849336,0.00227253,4.760980073,0.871,0.913855277,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,2016-10-31T07:32:01-07:00,Rayyan Albaf <ralbaf20@ez-webmail.com>,TRUE,FALSE,11/1/16 13:05,22.56277778,TRUE,FALSE
2593,X,jrodriguez20@ez-webmail.com,Jadiel Rodriguez,https://www.ez-webmail.com/img/2593f/ez-logo@25px.png,7,0.756050546,Alabama,1.259448065,1,1,0.528,0.099337748,0.022075055,0.061368653,0.059161148,0.075055188,0.056953642,0.007505519,0.036644592,0.207505519,0.12803532,0.105077263,0.141280353,0.040306743,0.959693257,0.01178341,0.000561115,0.714486112,0.004488918,0.006546339,0,0.262134106,0.000187038,4.029261996,0.236,0.243949454,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,2016-10-31T08:07:07-07:00,Jadiel Rodriguez <jrodriguez20@ez-webmail.com>,TRUE,FALSE,10/31/16 20:34,5.45,TRUE,FALSE
3370,G,ssamara20@ez-webmail.com,Shafiq Samara,https://www.ez-webmail.com/img/3370a/ez-logo@25px.png,1,0.431741606,Alabama,1.430461323,3,1,-0.075,0.071508172,0.060178306,0.081723626,0.069836553,0.065750371,0.060178306,0.01448737,0.026002972,0.18666419,0.14320208,0.093796434,0.12667162,0.011353116,0.988646884,0.007406325,0.005749647,0.437314233,0,0.001218145,0.002387565,0.545924085,0,4.304382802,0.5375,0.568258394,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,2016-10-31T07:32:11-07:00,Shafiq Samara <ssamara20@ez-webmail.com>,TRUE,FALSE,10/31/16 14:34,0.041111111,TRUE,FALSE
3720,U,gabdullah20@ez-webmail.com,Ghayth Abdullah,https://www.ez-webmail.com/img/3720b/ez-logo@25px.png,9,0.286891304,Alabama,2.282909762,3,1,-0.32,0.069670926,0.054181236,0.045913532,0.04793961,0.044900493,0.0516323,0.018136662,0.027384726,0.180484298,0.153197608,0.105780857,0.200777752,0.034278839,0.965721161,0.018287167,0.008012903,0.208181865,0.000145069,0.002321096,0.011042275,0.752009626,0.000725343,5.063036721,0.66,0.713108696,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,2016-10-31T07:32:03-07:00,Ghayth Abdullah <gabdullah20@ez-webmail.com>,TRUE,FALSE,10/31/16 14:57,0.42,TRUE,FALSE
3119,R,amaldonado20@ez-webmail.com,Angel Maldonado,https://www.ez-webmail.com/img/3119b/ez-logo@25px.png,15,0.42481203,Alabama,1.764940559,1,1,-0.051,0.095713314,0.039804944,0.059423906,0.052619642,0.052959855,0.06135178,0.014515763,0.035155364,0.190179179,0.136879111,0.08119755,0.180199592,0.004634654,0.995365346,0.008330644,0.006277317,0.402510927,0.000234666,0.001789329,0.000909331,0.579947787,0.000527999,4.533059933,0.5255,0.57518797,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,2016-10-31T08:06:58-07:00,Angel Maldonado <amaldonado20@ez-webmail.com>,FALSE,FALSE,11/7/16 13:36,166.4875,TRUE,FALSE
5164,V,wsingleton20@ez-webmail.com,Willie Singleton,https://www.ez-webmail.com/img/5164a/ez-logo@25px.png,13,0.147488629,Alabama,1.678522954,2,1,-0.55,0.049163057,0.057122791,0.064146085,0.042490928,0.053845253,0.082757813,0.028093176,0.025166803,0.187639003,0.137773616,0.097506731,0.174294744,0.014399816,0.985600184,0.01251824,0.003455956,0.049266569,0.000115199,0.003724752,0.001382382,0.929536902,0.000537593,4.412628521,0.775,0.852511371,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,2016-10-31T07:59:27-07:00,Willie Singleton <wsingleton20@ez-webmail.com>,TRUE,FALSE,11/1/16 17:41,26.6925,TRUE,FALSE
166,L,jshort20@ez-webmail.com,Jeremy Short,https://www.ez-webmail.com/img/166f/ez-logo@25px.png,8,0.161817878,Alabama,1.809042274,0,1,-0.603,0.069108043,0.032404728,0.047615111,0.062908159,0.04662313,0.043977846,0.031082086,0.024138216,0.184756551,0.147061255,0.12052575,0.189799124,0.076882666,0.923117334,0.006943651,0.00237546,0.102418857,0,0.004065691,0.038669743,0.845526598,0,4.642899586,0.8015,0.838182122,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,2016-10-31T07:33:12-07:00,Jeremy Short <jshort20@ez-webmail.com>,TRUE,FALSE,11/1/16 13:13,22.67694444,TRUE,FALSE
3153,H,scooper20@ez-webmail.com,Sean Cooper,https://www.ez-webmail.com/img/3153d/ez-logo@25px.png,1,0.431146859,Alabama,1.188001886,0,1,-0.046,0.050538525,0.055509528,0.049986192,0.047776857,0.044462856,0.054957194,0.025131179,0.016293841,0.184755592,0.186412593,0.093620547,0.190555095,0.004134062,0.995865938,0.006201093,0.00059058,0.435257641,0,0,0,0.557950687,0.002509966,4.11961875,0.523,0.568853141,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,2016-10-31T08:10:23-07:00,Sean Cooper <scooper20@ez-webmail.com>,,,,,FALSE,FALSE
